"id","name","city_id"
"1300300007",Do Mutirão,"1300300"
"1300300014",Cidade Nova,"1300300"
"1300409003",São Francisco,"1300409"
"1300508002",São Judas Tadeu,"1300508"
"1300508005",Beira Rio,"1300508"
"1300607007",Bom Jardim,"1300607"
"1300680001",Esperança,"1300680"
"1300680008",Nossa Senhora de Fátima,"1300680"
"1300706001",Praia do Gado,"1300706"
"1300706006",São Paulo,"1300706"
"1300805005",Recreio,"1300805"
"1300839005",Santo Antonio,"1300839"
"1300839010",Do Paissandu,"1300839"
"1301001003",Samuel Amaral,"1301001"
"1301001008",Da Luz,"1301001"
"1301001013",Severino Serafim de Melo,"1301001"
"1301100004",Urbano Industrial,"1301100"
"1301159004",Cambixe,"1301159"
"1301209003",Santa Helena,"1301209"
"1301209008",Urucu,"1301209"
"1301407002",Nossa Senhora do Perpétuo Socorro,"1301407"
"1301506001",Centro,"1301506"
"1301506006",Concórdia,"1301506"
"1301654004",Floresta,"1301654"
"1301704002",Nova Humaitá,"1301704"
"1301704007",Novo Centenário,"1301704"
"1301704012",Divino Pranto,"1301704"
"1301803004",Da Creche,"1301803"
"1301803009",Da Liberdade,"1301803"
"1301902003",Jauari,"1301902"
"1301902008",São Jorge,"1301902"
"1301902013",Tiradentes,"1301902"
"1301902020",Jauari II,"1301902"
"1301902024",Jardim Lorena,"1301902"
"1301951003",João Medeiros Campelo,"1301951"
"1302207003",Tancredo Neves,"1302207"
"1302306004",Mariano,"1302306"
"1302306007",Santo Antônio,"1302306"
"1302405006",Vila Falcão,"1302405"
"1302405009",Ocupaçõesdo Tauaruan e do Capian,"1302405"
"1302504007",São José,"1302504"
"1302504010",Correnteza,"1302504"
"1302553006",Do Areal,"1302553"
"1302603001",Centro,"1302603"
"1302603008",Santo Antônio,"1302603"
"1302603011",São Jorge,"1302603"
"1302603018",Da Paz,"1302603"
"1302603021",Petrópolis,"1302603"
"1302603028",Colônia Oliveira Machado,"1302603"
"1302603031",Vila Buriti,"1302603"
"1302603038",Parque 10 de Novembro,"1302603"
"1302603041",Nossa Senhora das Graças,"1302603"
"1302603048",Monte das Oliveiras,"1302603"
"1302603051",Tarumã,"1302603"
"1302603058",Novo Aleixo,"1302603"
"1302603061",Tarumã-Açu,"1302603"
"1302702005",Nossa Senhora Auxiliadora,"1302702"
"1302702008",São Domingos Sávio,"1302702"
"1100106008",Dez de Abril - Guajar,"1100106"
"1100122001",Santiago - J,"1100122"
"1100122011",Jardim dos Migrantes - J,"1100122"
"1100122020",Primavera - J,"1100122"
"1100122030",Colina Park - J,"1100122"
"1100122040",Rondon - J,"1100122"
"1100130008",Ouro Verde,"1100130"
"1100130018",Vera Cruz,"1100130"
"1100155007",Da Liberdade,"1100155"
"1100189006",Vila Nova,"1100189"
"1100205006",Nova Porto Velho,"1100205"
"1100205016",Arigolândia,"1100205"
"1100205026",Floresta,"1100205"
"1100205040",Agenor M. de Carvalho,"1100205"
"1100205051",Novo Horizonte,"1100205"
"1100205061",Aponiã,"1100205"
"1100288004",São Cristóvão,"1100288"
"1100288014",Cohab,"1100288"
"1100304002",Parque São Paulo,"1100304"
"1100304012",Residencial Jardim das Oliveiras,"1100304"
"1100338004",Planalto,"1100338"
"1100809002",Santa Izabel,"1100809"
"1101500002",Cristo Rei,"1101500"
"1200054001",Centro,"1200054"
"1200104006",Leonardo Barbosa,"1200104"
"1200252006",Aeroporto,"1200252"
"1200302007",Eletroacre,"1200302"
"1200427004",Dario Pereira,"1200427"
"1200500009",São Felipe,"1200500"
"1200500019",Ana Vieira,"1200500"
"1200609005",Copacabana,"1200609"
"1200708008",Laranjal,"1200708"
"1300102002",Japão,"1300102"
"1300144007",Vila Rica,"1300144"
"1300300008",Dr. Alberto Simonet,"1300300"
"1300409004",Nossa Senhora de Nazaré,"1300409"
"1300607001",Centro,"1300607"
"1300680002",Zona Centro Oeste,"1300680"
"1300706002",Platô do Piquiá,"1300706"
"1300839001",Centro,"1300839"
"1300839011",São Geraldo II,"1300839"
"1301001009",Do Flamengo,"1301001"
"1301100005",Urbano Sebastião Borges,"1301100"
"1301209004",Duque de Caxias,"1301209"
"1301407003",Santo Antônio,"1301407"
"1301506007",Várzea,"1301506"
"1301704003",São Pedro,"1301704"
"1301704013",Nova Esperança,"1301704"
"1301803010",Estrada José de Lemos,"1301803"
"1301902009",Santo Antônio,"1301902"
"1301902021",Jardim Adriana,"1301902"
"1301951004",São José,"1301951"
"1302306001",Centro,"1302306"
"1302405003",São José,"1302405"
"1302504005",Morada do Sol,"1302504"
"1302553004",Das Laranjeiras,"1302553"
"1302603006",São Raimundo,"1302603"
"1302603016",Alvorada,"1302603"
"1302603026",Morro da Liberdade,"1302603"
"1302603037",Flores,"1302603"
"1302603047",Santa Etelvina,"1302603"
"1302603057",Distrito Industrial II,"1302603"
"1302702004",Manicorezinho,"1302702"
"1302702014",Santo Antônio,"1302702"
"1302900008",Donga Michiles,"1302900"
"1303205002",Remanso,"1303205"
"1303205012",Santo Elias,"1303205"
"1303403002",Francesa,"1303403"
"1303403012",São José,"1303403"
"1303502002",Cidade Alta,"1303502"
"1303536003",Tancredo Neves,"1303536"
"1303536013",Atroari,"1303536"
"1303700010",Santa Etelvina,"1303700"
"1303908008",José Carlos Mestrinho,"1303908"
"1304005001",Centro,"1304005"
"1304062005",Centro,"1304062"
"1304062015",Novo Progresso,"1304062"
"1304203001",Centro,"1304203"
"1304203011",Nossa Senhora de Fátima,"1304203"
"1304203021",Colônia Ventura,"1304203"
"1304302009",Cafezal,"1304302"
"1400100001",Centro,"1400100"
"1400100011",Pricumã,"1400100"
"1400100021",Cambará,"1400100"
"1400100031",Cauamé,"1400100"
"1400100041",Dr. Silvio Botelho,"1400100"
"1400100051",Doutor Airton Rocha,"1400100"
"1500107006",Algodoal,"1500107"
"1500602001",Centro,"1500602"
"1500602011",Sudam II,"1500602"
"1501402002",Canudos,"1501402"
"1501402012",Pedreira,"1501402"
"1501402022",Maracangalha,"1501402"
"1501402032",Bengui,"1501402"
"1501402042",Campina de Icoaraci,"1501402"
"1501402052",Água Boa,"1501402"
"1501402062",São Francisco,"1501402"
"1501501001",Centro,"1501501"
"1501501011",Santos Dumont,"1501501"
"1501709007",Morro,"1501709"
"1501782005",Novo Paraíso,"1501782"
"1502103006",Santa Maria,"1502103"
"1502707010",Olaria Norte,"1502707"
"1502707020",São Luiz I,"1502707"
"1502855005",Planalto,"1502855"
"1503309001",Boa Esperança - Igarap,"1503309"
"1503606004",Comercial,"1503606"
